# Parameters
$ K = 5
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
1.7000000000000001e-01	8.2999999999999996e-01	1.7000000000000001e-01	-1.4333428719460248e+00	-1.2393680706579053e+00	-1.3447176562222978e+00	-1.8155860944245701e+00	-1.6537098181363614e+00	-1.1402368942269991e+00	-1.3738683870718302e+00	-1.6559426924097334e+00	-1.0946423282775475e+00	1.7563277658179060e+00
1.7249999999999999e-01	8.2750000000000001e-01	1.7249999999999999e-01	-1.4427184667487349e+00	-1.2547562184317613e+00	-1.3529303886020805e+00	-1.8174580269298743e+00	-1.6636470255929892e+00	-1.1552830683290132e+00	-1.3888945996692554e+00	-1.6653318861974822e+00	-1.1086023691983127e+00	1.7511965946614847e+00
1.7499999999999999e-01	8.2499999999999996e-01	1.7499999999999999e-01	-1.4517707422230350e+00	-1.2699191789508255e+00	-1.3609799784109229e+00	-1.8187811570767762e+00	-1.6731005860065706e+00	-1.1701844299333453e+00	-1.4034255078240925e+00	-1.6741494906251553e+00	-1.1223930526620343e+00	1.7460236126762458e+00
1.7749999999999999e-01	8.2250000000000001e-01	1.7749999999999999e-01	-1.4604861988195201e+00	-1.2848368553443010e+00	-1.3688542978176366e+00	-1.8195468744966421e+00	-1.6820511048782463e+00	-1.1849233015690912e+00	-1.4174375807656103e+00	-1.6823738146099501e+00	-1.1359963400619690e+00	1.7408077669549493e+00
1.7999999999999999e-01	8.2000000000000006e-01	1.7999999999999999e-01	-1.4688517277105022e+00	-1.2994891676329328e+00	-1.3765411331238604e+00	-1.8197476087857374e+00	-1.6904799065999467e+00	-1.1994818126324918e+00	-1.4309081518254929e+00	-1.6899842623325987e+00	-1.1493942205002670e+00	1.7355480501464260e+00
1.8250000000000000e-01	8.1750000000000000e-01	1.8250000000000000e-01	-1.4768546646540022e+00	-1.3138561249957339e+00	-1.3840282240958348e+00	-1.8193768824618270e+00	-1.6983691260716975e+00	-1.2138419545543833e+00	-1.4438155319962009e+00	-1.6969614482135398e+00	-1.1625687806580887e+00	1.7302435034816235e+00
1.8500000000000000e-01	8.1499999999999995e-01	1.8500000000000000e-01	-1.4844828431196830e+00	-1.3279179000356052e+00	-1.3913033053373181e+00	-1.8184293592515506e+00	-1.7057017985237930e+00	-1.2279856388621626e+00	-1.4561391204367851e+00	-1.7032873074013775e+00	-1.1755022759718103e+00	1.7248932197677116e+00
1.8750000000000000e-01	8.1250000000000000e-01	1.8750000000000000e-01	-1.4917246462613345e+00	-1.3416549045544397e+00	-1.3983541494918885e+00	-1.8169008871700489e+00	-1.7124619467560684e+00	-1.2418947578244399e+00	-1.4678595108613586e+00	-1.7089452006589243e+00	-1.1881772025630399e+00	1.7194963463342452e+00
1.9000000000000000e-01	8.1000000000000005e-01	1.9000000000000000e-01	-1.4985690573172947e+00	-1.3550478663128647e+00	-1.4051686120334348e+00	-1.8147885358913001e+00	-1.7186346650043991e+00	-1.2555512473268216e+00	-1.4789585927574345e+00	-1.7139200125600729e+00	-1.2005763693445808e+00	1.7140520879148304e+00
1.9250000000000000e-01	8.0750000000000000e-01	1.9250000000000000e-01	-1.5050057080221655e+00	-1.3680779062197534e+00	-1.4117346773758457e+00	-1.8120906279530422e+00	-1.7242061986536232e+00	-1.2689371515902990e+00	-1.4894196464095470e+00	-1.7181982419559192e+00	-1.2126829697064734e+00	1.7085597094474487e+00
